"","scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","country","state_province","county","locality","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","catalog_number","recorded_by","record_number","date_collected","identified_by","date_identified","identification_remarks","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated","is_new_world","observation_type"
"394","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Del Dios, at NW end of Lake Hodges, SW of Escondido",33.07453,-117.11814,1987-11-27,"GBIF","UCR","UCR","UCR",NA,4853,"2422430322","Tom Scott","87041",1987-11-27,NA,NA,NA,NA,0,NA,1,"specimen"
"395","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Escondido; Hidden Meadows; 1.75 miles NE of intersection I-15 and Mountain Meadows Road; 0.28 miles W of junction Burned Oak Lane and Mountain Meadow Road",33.22097,-117.11546,2012-06-19,"GBIF","SD","SD","SD",NA,4760,"2424940708","Beverly Pecunia; Jack Calamia","417",2012-06-19,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"396","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Camp Pendleton, Piedra de Lumbre Canyon",33.33343,-117.4392,1971-01-25,"GBIF","SD","SD","SD",NA,4760,"2424938945","R. Mitchel Beauchamp; D. Swickard","1512",1971-01-25,NA,NA,NA,NA,0,NA,1,"specimen"
"397","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Camp Pendleton Marine Corps Base, Delta Training Area in the northwestern portion of base, east of Talega Canyon Road along San Mateo Creek and west of Devil Canyon. Square: B3",33.47361,-117.46661,2009-07-16,"GBIF","UCR","UCR","UCR",NA,4853,"2422472481","Jon P. Rebman; Margaret R. Mulligan, M. Dinkins, B. Lardiere","18233",2009-07-16,NA,NA,NA,NA,0,NA,1,"specimen"
"398","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Camp Pendleton: Training Area Romeo I; east of Camp Horno and south of Basilone Road; off of a dirt road that connects to Horno Canyon Road. Square: D3",33.37469,-117.45581,2012-06-05,"GBIF","UCR","UCR","UCR",NA,4853,"2422483383","Jon P. Rebman; Warren Schmidtmann, G. Kenney","24646",2012-06-05,NA,NA,NA,NA,0,NA,1,"specimen"
"399","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Hampton","Webb Wildlife Center",32.578784766,-81.325707775,1997-05-15,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-15,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"400","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","County Highway S 16, 1.5 miles north of Pala",33.38565,-117.08586,1964-04-04,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270270128","Shaw, M.",NA,1964-04-04,NA,NA,NA,NA,0,NA,1,"specimen"
"401","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego",NA,33.131423,-116.781062,2010-12-06,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,31,NA,NA,"3",2010-12-06,NA,NA,NA,0,0,NA,1,"plot"
"402","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Cleveland National Forest: Northeast of El Cajon Mountain, west of the San Diego River, and south of Barona Mesa; along El Cajon Mountain Truck Trail",32.92546,-116.80415,2009-05-28,"GBIF","SD","SD","SD",NA,4760,"2424940564","Jon P. Rebman; L. Aerne-Hains, J. Gregory, & C. Brennan","17929",2009-05-28,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"403","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","11.7 miles east of Pala on Highway 76",33.30495,-116.92838,1980-10-04,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270270662","Kelly P. Steele","678",1980-10-04,NA,NA,NA,NA,0,NA,1,"specimen"
"404","Quercus arkansana","Fagaceae","Quercus arkansana Sarg.","Fagaceae","Quercus arkansana","Sarg.","flowering plants","Accepted","Fagaceae","Sarg.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","Alabama","Sumter","0.5 mi. air mi. S of Old Bluffport. Just N of Nebo Cemetary.",32.58667,-88.05806,2006-09-29,"GBIF","UA","UA","UA","UNA",1777,"217080704","Brian R. Keener with Robert Mustain",NA,2006-09-29,NA,NA,NA,NA,0,NA,1,"specimen"
"405","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Hauser mountain, SW side, about 6 miles W of Campo. 32°36'24''N,116°33'33''W.",32.60667,-116.55917,2000-03-24,"GBIF","SDSU","SDSU","SDSU",NA,4762,"2450410092","Jon Rebman","6325",2000-03-24,NA,NA,NA,NA,0,NA,1,"specimen"
"406","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Cleveland National Forest, just east of the border with Camp Pendleton Marine Corps Base. Margarita Peak, along the trail that leads up from the east side. Square B5",33.44311,-117.38761,2008-06-04,"GBIF","UCR","UCR","UCR",NA,4853,"2422460551","Jon P. Rebman; Jim Rocks, Margaret R. Mulligan","15544",2008-06-04,"Fred M. Roberts",2015-01-01,NA,NA,0,NA,1,"specimen"
"407","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Palomar Mtn., DFG Plaisted Creek Ecological Reserve, NE of Rincon and Pauma Valley, between Plaisted Creek and Hwy 76, SE lobe of reserve in vicinity of residences abandoned in 1996",33.30222,-116.90972,2004-07-09,"GBIF","SD","SD","SD",NA,4760,"2424940256","Andrew C. Sanders","28484",2004-07-09,NA,NA,NA,NA,0,NA,1,"specimen"
"408","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","",33.0783329991367,-116.600833,1940-08-06,"GBIF","CHSC","CHSC","CHSC","VascularPlants",4298,"2417982569","V. Holt",NA,1940-08-06,NA,NA,NA,NA,0,NA,1,"specimen"
"409","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","near Pala, near McGee ranch",33.39498,-117.03329,1937-07-01,"GBIF","SD","SD","SD",NA,4760,"2424939079","Frank F. Gander","4348",1937-07-01,"Darin L. Banks 2/4/1998",NA,NA,NA,0,NA,1,"specimen"
"410","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Eagles Nest: Fletcher Family Ranch; E of Warner Springs on the SW side of Hot Springs Mountain; at the end on Eagles Nest Road; spring area northeast of lake",33.29337,-116.58768,2010-05-26,"GBIF","SD","SD","SD",NA,4760,"2424940459","Jon P. Rebman; Grant Fletcher, J. Gregory, J. LaGrange, N. Nenow","19346",2010-05-26,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"411","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","San Diego County: Lagune Mts., Nr. Guatay, Calif.",32.86429,-116.60808,1923-04-01,"GBIF","DAV","DAV","DAV",NA,4338,"2421687742","J.E. Law","336",1923-04-01,"John M. Tucker",NA,NA,NA,0,NA,1,"specimen"
"412","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Elfin Forest Preserve; 1/2 mile east of intersection of Via Ambiente and Harmony Grove Rd.",33.075,-117.15611,2013-05-19,"GBIF","SD","SD","SD",NA,4760,"2424940869","John LaGrange; Mary Rider","1247",2013-05-19,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"413","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Cleveland National Forest, .2 mile SE of intersection of County Road S-7 with Love Valley Road, 3.5 miles north of Highway 76",33.2632,-116.7709,2005-08-23,"GBIF","SD","SD","SD",NA,4760,"2424939955","Jerilyn Hirshberg","1173",2005-08-23,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"414","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Mount Woodson, between Ramona and Poway; on the paved road to the summit(restricted access); accessed on foot at the junction of Higway 67 and Ramona Guard Station.",33.0072,-116.9681,2006-04-06,"GBIF","SD","SD","SD",NA,4760,"2424940311","Victoria Marshall","113",2006-04-06,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"415","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Camp Pendleton, north of Upper Case Spring, on slope beside Case Spring road",33.44992,-117.41766,1971-01-25,"GBIF","SD","SD","SD",NA,4760,"2424939490","R. Mitchel Beauchamp; D. Swickard","1521",1971-01-25,NA,NA,NA,NA,0,NA,1,"specimen"
"416","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Harbison Canyon",32.81302,-116.83831,1937-06-02,"GBIF","SD","SD","SD",NA,4760,"2424939846","Frank F. Gander","3941",1937-06-02,"Frank Gander",NA,NA,NA,0,NA,1,"specimen"
"417","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Willows.",32.8388,-116.6813,1922-10-31,"GBIF","DAV","DAV","DAV",NA,4338,"2421688139","W. E. Ritter","s.n.",1922-10-31,"det. W.L. Jepson",NA,NA,NA,0,NA,1,"specimen"
"418","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","7.3 miles from Rincon Springs on SDS6 (Mt. Palomar Rd.), Palomar Mts.",33.30036,-116.88283,1960-09-02,"GBIF","UCSB","UCSB","UCSB",NA,4856,"2270272438","Robert H. Gill","424",1960-09-02,NA,NA,NA,NA,0,NA,1,"specimen"
"419","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","San Diego Wild Animal Park, Conservation Area. Hills above 'Mountain Habitat' on the 'Southern Ridge Road', west of Rockwood Canyon.",33.0995,-116.9755,2001-08-16,"GBIF","SD","SD","SD",NA,4760,"2424940345","Joseph A. Betzler","650",2001-08-16,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"420","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego",NA,32.819229,-116.594247,2006-10-17,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,31,NA,NA,"312",2006-10-17,NA,NA,NA,0,0,NA,1,"plot"
"421","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Elevation ca. 400 feet; Nate Harrison Road, Palomar Mountain.",33.366661,-116.803189,1936-07-08,"GBIF","DAV","DAV","DAV",NA,4338,"2421688675","Maunsell Van Rensselaer","s.n.",1936-07-08,NA,NA,NA,NA,0,NA,1,"specimen"
"422","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Lilac Road, ca. 3.2 mi. S of Hwy 76.",33.333333,-117.083333,1989-06-17,"GBIF","DAV","DAV","DAV",NA,4338,"2421688035","B. Pitzer","1106",1989-06-17,NA,NA,NA,NA,0,NA,1,"specimen"
"423","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Santa Ysabel, Cuyamaca Mtns, Oak Woodland, Pacific slope drainage.",33.104391,-116.673064,1945-11-10,"GBIF","SDSU","SDSU","SDSU",NA,4762,"2450410053","Lyman Benson","11918",1945-11-10,"D. Charlton",1987-10-01,NA,NA,0,NA,1,"specimen"
"424","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Vicinity of Pine Valley, South side of Hwy 8 near Call Box 8-388, ca. 2.6 miles west of Pine Valley Creek",32.8231,-116.60969,2005-08-20,"GBIF","SD","SD","SD",NA,4760,"2424940166","R. E. Riefner, Jr.","05-627",2005-08-20,NA,NA,NA,NA,0,NA,1,"specimen"
"425","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","East Grade Road, Palomar Mountain",33.267227,-116.780045,2015-03-24,"GBIF","UCSC","UCSC","UCSC",NA,4857,"2459167058","Al Keuter","AK00-119",2015-03-24,NA,NA,NA,NA,0,NA,1,"specimen"
"426","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego",NA,33.131423,-116.781062,2010-12-06,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,31,NA,NA,"6",2010-12-06,NA,NA,NA,0,0,NA,1,"plot"
"427","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Hampton","Webb Wildlife Center",32.576586567,-81.328065036,1997-05-15,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-15,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"428","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Camp Pendleton: central portion of Base; Training Area India; northeast of Basilone Road and east of Roblar Road; along a dirt road on an east-facing slope",33.35975,-117.35322,2013-05-01,"GBIF","SD","SD","SD",NA,4760,"2424940821","Jon P. Rebman; W. Schmidtmann & G. Kenney","26240",2013-05-01,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"429","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Willows.",32.8388,-116.6813,1922-10-31,"GBIF","DAV","DAV","DAV",NA,4338,"2421685779","W. E. Ritter","s.n.",1922-10-31,"det. J.M. Tucker, Oct 21, 1965",NA,NA,NA,0,NA,1,"specimen"
"430","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Cleveland National Forest: Northeast of El Cajon Mountain, west of the San Diego River and south of Barona Mesa; along an old road just east of El Cajon Mountain Truck Trail",32.9256,-116.79386,2010-04-07,"GBIF","SD","SD","SD",NA,4760,"2424940314","Jon P. Rebman; L. Aerne-Hains & W. Schmidtmann","19000",2010-04-07,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"431","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Pala Creek Canyon, Route S-16 where Pala Creek crosses hwy, c. 5 miles south of junction with Hwy 79, southeast of Temecula",33.38333,-117.08333,1989-03-04,"GBIF","UCR","UCR","UCR",NA,4853,"2422303816","B.G. Pitzer; E. Misquez","1257",1989-03-04,"D.L. Banks",1998-01-01,NA,NA,0,NA,1,"specimen"
"432","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","One quarter mile south of junction of Woods Valley Road and Lake Wohlford Road.",33.2,-116.983333,1971-04-25,"GBIF","DAV","DAV","DAV",NA,4338,"2421688213","R. Mitchel Beauchamp","2274",1971-04-25,NA,NA,NA,NA,0,NA,1,"specimen"
"433","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Lawrence & Barbara Daley Preserve: southeast of Jamul; south of Honey Springs Road and east of its junction with Hwy. 94; northwest side of Preserve",32.66678,-116.8021,2010-04-06,"GBIF","SD","SD","SD",NA,4760,"2424939223","Jon P. Rebman; Roseanne Humphrey","18949",2010-04-06,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"434","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","east of Escondido, Lake Wohlford",33.17563,-116.98876,1989-04-22,"GBIF","SD","SD","SD",NA,4760,"2424941413","Judy Gibson","91",1989-04-22,NA,NA,NA,NA,0,NA,1,"specimen"
"435","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Descanso area, roadside on U.S. Route 8, just E of intersection with California State Route 79",32.8247,-116.6182,2016-02-22,"GBIF","SD","SD","SD",NA,4760,"2424842498","Dylan Burge","2084",2016-02-22,"Dylan O. Burge",NA,NA,NA,0,NA,1,"specimen"
"436","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Otay Mountain, east base, 3 miles south of Dulzura",32.59801,-116.77471,1970-05-03,"GBIF","SD","SD","SD",NA,4760,"2424938963","Reid Moran","17489",1970-05-03,NA,NA,NA,NA,0,NA,1,"specimen"
"437","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Buckman Springs",32.77144,-116.49196,1936-03-12,"GBIF","SD","SD","SD",NA,4760,"2424939233","Frank F. Gander","712",1936-03-12,NA,NA,NA,NA,0,NA,1,"specimen"
"438","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Coleman Flat, 4 miles southwest of Julian",33.04944,-116.6375,1969-11-12,"GBIF","UCR","UCR","UCR",NA,4853,"2422284570","Eric Stamets","s.n.",1969-11-12,"Kelly P. Steele",1983-01-01,NA,NA,0,NA,1,"specimen"
"439","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego",NA,33.131423,-116.781062,2010-12-06,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,31,NA,NA,"2",2010-12-06,NA,NA,NA,0,0,NA,1,"plot"
"440","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Cleveland National Forest, southeast of El Cajon Mountain, west of the El Capitan Reservoir, just off of El Cajon Mountain Truck Trail. Square O16",32.89069,-116.81939,2009-05-21,"GBIF","UCR","UCR","UCR",NA,4853,"2422469900","Jon P. Rebman; Layla Aerne Hains, Jeannie Gregory","17810",2009-05-21,NA,NA,NA,NA,0,NA,1,"specimen"
"441","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Alpine, South end of Mesa Del Arroz Preserve on the old Findel Ranch",32.81611,-116.76,2003-06-13,"GBIF","SD","SD","SD",NA,4760,"2424939925","Jeannie Gregory","459",2003-06-13,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"442","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Inaja Indian reservation",33.01005,-116.64474,1939-10-12,"GBIF","SD","SD","SD",NA,4760,"2424940322","Frank F. Gander","7797",1939-10-12,NA,NA,NA,NA,0,NA,1,"specimen"
"443","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Los Peñasquitos Canyon Preserve; along Los Penasquitos Canyon Trail; near 0.50 mile NNE of intersection Mercy Road and Black Mountain Road.",32.94205,-117.12081,2014-03-15,"GBIF","SD","SD","SD",NA,4760,"2424940304","Keir A. Morse; Angelique Herman","1",2014-03-15,"Jon P. Rebman",NA,NA,NA,0,NA,1,"specimen"
"444","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","San Diego Co.: Cleveland National Forest: Pine Creek Wilderness; north of Barrett Lake, southeast of Alpine; north of the Horsethief Canyon Trailhead on Lyons Valley Road, along a trail in the bottom of Horsethief Canyon. Square: R19.",32.754722,-116.662222,2007-03-25,"GBIF","DAV","DAV","DAV",NA,4338,"2421698678","Jon P. Rebman; Jeannie Gregory","13052",2007-03-25,NA,NA,NA,NA,0,NA,1,"specimen"
"445","Quercus austrina","Fagaceae","Quercus austrina Small","Fagaceae","Quercus austrina","Small","flowering plants","Accepted","Fagaceae","Small","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,"United States","South Carolina","Hampton","Webb Wildlife Center",32.577113114,-81.326788461,1997-05-15,"CVS","Carolina Vegetation Survey","Robert Peet",NA,NA,72,NA,NA,NA,1997-05-15,"Robert Peet",2008-10-01,NA,0,0,NA,1,"plot"
"446","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego","Knoll, northeast of Vista Irrigation District gate #2, east of Hwy 79, north of Warner Springs airstrip, south of Puerta La Cruz Conservation Camp (Linton Road)",33.29532,-116.7033,1993-10-05,"GBIF","SD","SD","SD",NA,4760,"2424940608","Susan T Welker","s.n.",1993-10-05,NA,NA,NA,NA,0,NA,1,"specimen"
"447","Quercus engelmannii","Fagaceae","Quercus engelmannii Greene","Fagaceae","Quercus engelmannii","Greene","flowering plants","Accepted","Fagaceae","Greene","N","Native to region, as per checklist","usda",0,"N","N",NA,"United States","California","San Diego",".25 miles south of junction of Woods Valley road and Lake Wohlford road",33.19836,-116.97201,1971-04-25,"GBIF","SD","SD","SD",NA,4760,"2424938694","R. Mitchel Beauchamp","2274",1971-04-25,NA,NA,NA,NA,0,NA,1,"specimen"
